voiceActor,movie,character
Alan Tudyk,Wreck-It Ralph,King Candy/Turbo
Arthur Malet,The Black Cauldron,King Eiddileg
Bill Thompson,Sleeping Beauty,King Hubert
Leonard Nimoy,Atlantis: The Lost Empire,King Kashekim Nedakh
Lennie Weinrib,Bedknobs and Broomsticks,King Leonidas
Louis Prima,The Jungle Book,King Louie
Peter Ustinov,Robin Hood,King Richard
Travis Willingham,Sofia the First,King Roland II
Taylor Holmes,Sleeping Beauty,King Stefan
Kenneth Mars,The Little Mermaid,King Triton
Sean Elmore,Chicken Little,Kirby
R. J. Williams,TaleSpin,Kit Cloudkicker
James Apaumut Fall,Pocahontas,Kocoum
Jeremy Suarez,Brother Bear,Koda
Ryan O'Donohue,The Lion King II: Simba's Pride,Kovu
Douglas Seale,The Rescuers Down Under,Krebbs
Jonathan Groff,Frozen,Kristoff
Samuel E. Wright,Dinosaur,Kron
Patrick Warburton,The Emperor's New Groove,Kronk Pepikrankenitz
David Spade,The Emperor's New Groove,Kuzco
Carole Shelley,Hercules,Lachesis
Barbara Luddy,Lady and the Tramp,Lady
April Winchell,The Hunchback of Notre Dame II,Lady DeBurne
Carole Shelley,Robin Hood,Lady Kluck
Shani Wallis,The Great Mouse Detective,Lady Mouse
Eleanor Audley,Cinderella,Lady Tremaine
George Lindsey,The Aristocats,Lafayette the Basset Hound
Frankie Darro,Pinocchio,Lampwick
Marshall Efron,Home on the Range,Larry the Duck
Terry McGovern,DuckTales,Launchpad McQuack
Mary Wickes,The Hunchback of Notre Dame,Laverne
Peter Bartlett,The Princess and the Frog,Lawrence the Valet
Jesse Corti,Beauty and the Beast,Le Fou
Nathan Greno,Meet the Robinsons,Lefty
Rob Paulsen,Belle's Magical World,Le Plufme
Jordan Fry,Meet the Robinsons,Lewis
B.D. Wong,Mulan,Li Shang
Andrew Lawrence,The Porker's Court,Lil Bad Wolf
Daveigh Chase,Lilo & Stitch,Lilo Pelekai
Gedde Watanabe,Mulan,Ling
Jack Angel,Darkwing Duck,Liquidator !The Liquidator
Phil Harris,Robin Hood,Little John
Ed O'Neill,Wreck-It Ralph,Mr. Litwak
Tracey Miller-Zarneke,Meet the Robinsons,Lizzy
Lauren Mote,Tinker Bell and the Great Fairy Rescue,Lizzy Griffths
Clarence Nash,Donald's Nephews,Louie
Frank Welker,Oliver & Company,Louie the Hot Dog Man
Michael-Leon Wooley,The Princess and the Frog,Louis the Alligator
June Foray,Cinderella,Lucifer the Cat
Laurie Metcalf,Meet the Robinsons,Lucille Krunklehorn
Mimi Gibson,One Hundred and One Dalmatians,Lucky
Charles Haid,Home on the Range,Lucky Jack
Paul Frees,An Adventure in Color,Ludwig Von Drake
Pat Buttram,The Rescuers,Luke
Jerry Orbach,Beauty and the Beast,Lumière
Kyle Stanger,Pooh's Heffalump Movie,Lumpy the Heffalump
Jeff Foxworthy,The Fox and the Hound 2,Lyle
June Foray,DuckTales,Ma Beagle
Ed Wynn,Alice in Wonderland,Mad Hatter
Hermione Baddeley,The Aristocats,Madame Adelaide Bonfamille
Geraldine Page,The Rescuers,Madame Medusa
Martha Wentworth,The Sword in the Stone,Madam Mim
Tress MacNeille,Fantasia,Madame Upanova
Jennifer Love Hewitt,The Hunchback of Notre Dame II,Madellaine
Roseanne Barr,Home on the Range,Maggie
Moroni Olsen,Snow White and the Seven Dwarfs,The Magic Mirror
June Foray,DuckTales,Magica De Spell
Tress MacNeille,Jungle Cubs,Mahra the Baboon
Monica Evans,Robin Hood,Maid Marian
Eleanor Audley,Sleeping Beauty,Maleficent
Jessica Di Cicco,The Emperor's New School,Malina
Jenifer Lewis,The Princess and the Frog,Mama Odie
Frank Welker,The Rescuers Down Under,Marahute
Jerry Colonna,Alice in Wonderland,March Hare
Liz English,The Aristocats,Marie
Joe Lo Truglio,Wreck-It Ralph,Markowski
Emeril Lagasse,The Princess and the Frog,Marlon the Alligator
Heather Angel,Peter Pan,Mary Darling
Miriam Margoyles,Mulan,The Matchmaker
Dwayne Johnson,Moana,Maui
Rex Everhart,Beauty and the Beast,Maurice
Dana Hill,Goof Troop,Max Goof
Ned Norton,The Tortoise and the Hare,Max Hare
Frank Welker,The Little Mermaid,Max the Sheepdog
J.K. Simmons,Zootopia,Mayor Lionheart
Charlie Adler,Aladdin,Mechanicles
John Kassir,Pocahontas,Meeko
Frank Welker,DuckTales,Megabyte Beagle
Susan Egan,Hercules,Megara
Dan Castellaneta,Darkwing Duck,Megavolt
Tara Strong,The Little Mermaid II: Return to the Sea,Melody
Cheryl Freeman,Hercules,Melpomene
Fred Willard,Chicken Little,Melvin
Cree Summer,Bambi II,Mena
Karl Swenson,The Sword in the Stone,Merlin
Christopher Lloyd,DuckTales,Merlock the Magician
Barbara Luddy,Sleeping Beauty,Merryweather
Tommy Luske,Peter Pan,Michael Darling
Walt Disney,Steamboat Willie,Mickey Mouse
Rod Roddy,House of Mouse,Mike the Microphone
Angela Bassett,Meet the Robinsons,Mildred
Michael J. Fox,Atlantis: The Lost Empire,Milo Thatch
Kari Wahlgren,Bolt,Mindy
Walt Disney,Plane Crazy,Minnie Mouse
Bebe Neuwirth,Aladdin (TV series),Mirage
Karla DeVito,Bonkers,Miranda Wright
Eva Gabor,The Rescuers,Miss Bianca
Melissa Manchester,The Great Mouse Detective,Miss Kitty
Megan Mullally,Sofia the First,Miss Nettle
Susie Essman,Bolt,Mittens
Auli'i Cravalho,Moana,Moana Waialiki
Colin Campbell,The Adventures of Ichabod and Mr. Toad,Moley
Tony Jay,Beauty and the Beast,Monsieur D'Arque
Thurl Ravenscroft,Pinocchio,Monstro
Jim Cummings,Chip 'n Dale Rescue Rangers,Monterey Jack
Bill Fagerbakke,Lady and the Tramp II: Scamp's Adventure,Mooch
Mark Dindal,Chicken Little,Morcupine Porcupine
Pat Carroll,The Little Mermaid II: Return to the Sea,Morgana
Kath Soucie,Darkwing Duck,Morgana McCawber
Dane A. Davis,Treasure Planet,Morph
Maurice LaMarche,Mickey's Rival,Mortimer Mouse
Donna Murphy,Tangled,Mother Gothel
Barbara Luddy,Robin Hood,Mother Rabbit
Bruce Reitherman,The Jungle Book,Mowgli
Jonathan Brandis,Aladdin,Mozenrath
Roscoe Lee Browne,Treasure Planet,Mr. Arrow
Maurice LaMarche,Zootopia,Mr. Big
Jeff Pidgeon,Mickey Mouse Clubhouse,Mr. Pettibone
Bill Thompson,Peter Pan,Mr. Smee
Joe Flynn,The Rescuers,Mr. Snoops
Sterling Holloway,Dumbo,Mr. Stork
Tom Kenny,Meet the Robinsons,Mr. Willerstein
Patrick Stewart,Chicken Little,Mr. Woolensworth
Judi Dench,Home on the Range,Mrs. Calloway
June Foray,DuckTales,Mrs. Featherby
Amy Hill,Lilo & Stitch,Mrs. Hasagawa
Diana Chesney,The Great Mouse Detective,Mrs. Judson
Verna Felton,Dumbo,Mrs. Jumbo
Octavia Spencer,Zootopia,Mrs. Otterton
Mary Lansing,Bambi,Mrs. Possum
Angela Lansbury,Beauty and the Beast,Mrs. Potts
Thelma Boardman,Bambi,Mrs. Quail
James Earl Jones,The Lion King,Mufasa
Ming-Na Wen,Mulan,Mulan
Jason Marsden,Tarzan,Mungo
Eddie Murphy,Mulan,Mushu
Miranda Paige Walls,Lilo & Stitch,Myrtle Edmonds
Michelle St. John,Pocahontas,Nakoma
Moira Kelly,The Lion King,Nala
Idina Menzel,Enchanted,Nancy Tremaine
Tia Carrere,Lilo & Stitch,Nani Pelekai
Martha Wentworth,One Hundred and One Dalmatians,Nanny
Pat Buttram,The Aristocats,Napoleon the Bloodhound
Jodi Benson,Aladdin in Nasira's Revenge,Nasira
Timothy Spall,Enchanted,Nathaniel
Jeff Bennett,Timon and Pumbaa,Natives
Charlie Adler,Jungle Cubs,Ned the Baboon
Julianna Margulies,Dinosaur,Neera
Jim Cummings,Darkwing Duck,NegaDuck
Jim Cummings,Hercules,Nessus
Jeffrey Silver,Peter Pan,Nibs
Jason Bateman,Zootopia,"Nicholas ""Nick"" P. Wilde"
Mandy Moore,Brother Bear 2,Nita
Andy Dick,The Lion King II: Simba's Pride,Nuka
Russi Taylor,The Rescuers Down Under,Nurse Mouse
Ken Curtis,Robin Hood,Nutsy the Vulture
Chris Williams,Frozen,Oaken
Frank Welker,Return to Never Land,The Octopus
Josh Gad,Frozen,Olaf
Joey Lawrence,Oliver & Company,Oliver
Susanne Pollatschek,The Great Mouse Detective,Olivia Flaversham
Charlie Dell,Home on the Range,Ollie the Pig
Corey Burton,Treasure Planet,Onus
Eda Reiss Merin,The Black Cauldron,Orddu
Billie Hayes,The Black Cauldron,Orgoch
Jim Jordan,The Rescuers,Orville
Adele Malis-Morey,The Black Cauldron,Orwen
Frank Welker,Trolley Troubles,Oswald the Lucky Rabbit
J. Pat O'Malley,Robin Hood,Otto
Hal Smith,Winnie the Pooh and the Honey Tree,Owl
John Goodman,The Emperor's New Groove,Pacha
Bobcat Goldthwait,Hercules,Pain and Panic
Joaquin Garay,The Three Caballeros,Panchito Pistoles
Frank Welker,Tangled,Pascal
Mickey Maga,One Hundred and One Dalmatians,Patch
Carole Cook,Home on the Range,Pearl Gesner
Peggy Lee,Lady and the Tramp,Peg
April Winchell,Goof Troop,Peg Pete
Frank Welker,Hercules,Pegasus
Grey DeLisle,Bolt,Penny's Mom
Sandra Abbott,One Hundred and One Dalmatians,Penny
Michelle Stacy,The Rescuers,Penny
Miley Cyrus,Bolt,Penny
Kathleen Wilhoite,Pepper Ann,Pepper Ann Pearson
Vito Scotti,The Aristocats,Peppo the Italian Cat
George C. Scott,The Rescuers Down Under,Percival C. McLeach
Danny Mann,Pocahontas,Percy
Cate Bauer,101 Dalmatians,Perdita
Lucy Hale,Secret of the Wings,Periwinkle
Billy Bletcher,Alice Solves the Puzzle,Pete
Rob Paulsen,Goof Troop,Pete Junior
Bobby Driscoll,Peter Pan,Peter Pan
Pinto Colvig,The Wise Little Hen,Peter Pig
Frank Welker,DuckTales,The Phantom Blot
Danny DeVito,Hercules,Philoctetes
Hal Smith,Beauty and the Beast,Philippe the Horse
John Fiedler,Winnie the Pooh and the Blustery Day,Piglet
Dickie Jones,Pinocchio,Pinocchio
Jeff Bennett,Enchanted,Pip
Nancy Cartwright,Goof Troop,Pistol Pete
Alfre Woodard,Dinosaur,Plio
Pinto Colvig,The Chain Gang,Pluto
Irene Bedard,Pocahontas,Pocahontas
Terry McGovern,DuckTales,Poe De Spell
Frank Welker,Cinderella II: Dreams Come True,Pom-Pom
Rod Taylor,101 Dalmatians,Pongo
Tevin Campbell,A Goofy Movie,Powerline
Pinto Colvig,Three Little Pigs,Practical Pig
John Mahoney,Atlantis: The Lost Empire,Preston B. Whitmore
Harry Stockwell,Snow White and the Seven Dwarfs,Prince
William Phipps,Cinderella,Prince Charming
James Marsden,Enchanted,Prince Edward
Christopher Daniel Barnes,The Little Mermaid,Prince Eric
Santino Fontana,Frozen,Prince Hans
Zach Callison,Sofia the First,Prince James
Peter Ustinov,Robin Hood,Prince John
Bruno Campos,The Princess and the Frog,Prince Naveen
Bill Shirley,Sleeping Beauty,Prince Phillip
Queenie Leonard,One Hundred and One Dalmatians,Princess
Darcy Rose Byrnes,Sofia the First,Princess Amber
Susan Sheridan,The Black Cauldron,Princess Eilonwy
Linda Larkin,Aladdin,Princess Jasmine
Cree Summer,Atlantis: The Lost Empire,Princess Kidagakash
Wallace Shawn,A Goofy Movie,Principal Mazur
Sarah Selby,Dumbo,Prissy the Elephant
Jim Cummings,Chip 'n Dale Rescue Rangers,Professor Norton Nimnul
Vincent Price,The Great Mouse Detective,Professor Ratigan
Jared Bush,Zootopia,Pronk Oryx-Antlerson
Holland Taylor,Cinderella II: Dreams Come True,Prudence
Charles Fleischer,Who Framed Roger Rabbit,Psycho the Weasel
Ernie Sabella,The Lion King,Pumbaa
Michael Bell,Darkwing Duck,Quackerjack
Tom Hulce,The Hunchback of Notre Dame,Quasimodo
Kari Wahlgren,Tangled Ever After,Queen
Lorelei Hill Butters,The Little Mermaid: Ariel's Beginning,Queen Athena
Anjelica Huston,Disney Fairies,Queen Clarion
Lucille La Verne,Snow White and the Seven Dwarfs,Queen Grimhilde
Barbara Dirikson,Sleeping Beauty,Queen Leah
Sara Ramirez,Sofia the First,Queen Miranda
Eve Brenner,The Great Mouse Detective,Queen Mousetoria
Susan Sarandon,Enchanted,Queen Narissa
Verna Felton,Alice in Wonderland,The Queen of Hearts
Corey Burton,Timon and Pumbaa,Quint
Junius Matthews,Winnie the Pooh and the Honey Tree,Rabbit
Robert Guillaume,The Lion King,Rafiki
Frank Welker,Aladdin,Rajah
Jamie Elman,Wreck-It Ralph,Rancis Fluggerbutter
Mandy Moore,Tangled,Rapunzel
Claud Allister,The Adventures of Ichabod and Mr. Toad,Ratty
Jim Cummings,The Princess and the Frog,Ray the Firefly
Jim Cummings,Aladdin,Razoul
Peter Firth,The Rescuers Down Under,Red
Mark Walton,Bolt,Rhino
Jennifer Darling,Darkwing Duck,Rhoda Dendron
Charles Dennis,Home on the Range,Rico
Herman Bing,Dumbo,The Ringmaster
Sheryl Lee Ralph,Oliver & Company,Rita
Pauly Shore,A Goofy Movie,"Robert ""Bobby"" Zimmeruski"
Brian Bedford,Robin Hood,Robin Hood
Charles Fleischer,Who Framed Roger Rabbit,Roger Rabbit
Ben Wright,101 Dalmatians,Roger Radcliffe
Barbara Beaird,One Hundred and One Dalmatians,Rolly
Anthony Ghannam,Bambi II,Ronno
Clint Howard,Winnie the Pooh and the Honey Tree,Roo
Dori Whittaker,Winnie the Pooh and the Honey Tree,Roo
Sterling Holloway,The Aristocats,Roquefort the Mouse
Taurean Blacque,Oliver & Company,Roscoe
Doris Lloyd,Alice in Wonderland,The Rose
Kristin Chenoweth,Disney Fairies,Rosetta
Kellie Martin,A Goofy Movie,Roxanne
Cathy Moriarty,Lady and the Tramp II: Scamp's Adventure,Ruby
John McIntire,The Rescuers,Rufus
Steve Zahn,Chicken Little,Runt of the Litter
G.W. Bailey,Home on the Range,Rusty the Dog
Rick Moranis,Brother Bear,Rutt and Tuke
Jerry Orbach,Aladdin and the King of Thieves,Sa'luk
Kellie Martin,Aladdin,Sadira
Garrett John Hedlund,Tron: Legacy,Sam Flynn
Richard Riehle,Home on the Range,Sam the Sheriff
Madge Sinclair,The Lion King,Sarabi
Zoe Leader,The Lion King,Sarafina
Laurie Metcalf,Treasure Planet,Sarah Hawkins
Michael McKean,The Hunchback of Notre Dame II,Sarousch
Scott Wolf,Lady and the Tramp II: Scamp's Adventure,Scamp
Jeremy Irons,The Lion King,Scar
Scatman Crothers,The Aristocats,Scat Cat
Alan Young,DuckTales,Scrooge McDuck
Michael Wincott,Treasure Planet,Scroop
Buddy Hackett,The Little Mermaid,Scuttle
Samuel E. Wright,The Little Mermaid,Sebastian
Lennie Weinrib,Bedknobs and Broomsticks,Secretary Bird
Jane Lynch,Wreck-It Ralph,Sergeant Calhoun
David Frankham,101 Dalmatians,Sgt. Tibbs
Miguel Ferrer,Mulan,Shan Yu
Darleen Carr,The Jungle Book,Shanti (The Girl)
Mary Gibbs,Mulan 2,Sha-ron
Whoopi Goldberg,The Lion King,Shenzi
George Sanders,The Jungle Book,Shere Khan
Pat Buttram,Robin Hood,Sheriff of Nottingham
Paul Winchell,The Aristocats,Shun Gon the Chinese Cat
Peggy Lee,Lady and the Tramp,Si & Am
Lucy Liu,Disney Fairies,Silvermist
Jonathan Taylor Thomas,The Lion King,Simba
Matthew Broderick,The Lion King,Simba
Sebastian Cabot,The Sword in the Stone,Sir Ector
Claud Allister,The Reluctant Dragon,Sir Giles
Terry-Thomas,Robin Hood,Sir Hiss
Norman Alden,The Sword in the Stone,Sir Kay
Alan Napier,The Sword in the Stone,Sir Pellinore
Dana Laurita,Robin Hood,Sis Bunny
D. B. Sweeney,Brother Bear,Sitka
Billy Whittaker,Robin Hood,Skippy Bunny
Pinto Colvig,Snow White and the Seven Dwarfs,Sleepy
Stuffy Singer,Peter Pan,Slightly
David Lander,Who Framed Roger Rabbit,Smarty the Weasel
Jim Cummings,Timon and Pumbaa,Smolder the Bear
Billy Gilbert,Snow White and the Seven Dwarfs,Sneezy
Adriana Caselotti,Snow White and the Seven Dwarfs,Snow White
Ariel Winter,Sofia the First,Princess Sofia
Rich Moore,Wreck-It Ralph,Sour Bill
Mickey Rooney,Lady and the Tramp II: Scamp's Adventure,Sparky
Corey Burton,Timon and Pumbaa,Speedy the Snail
Tara Strong,101 Dalmatians: The Series,Spot
Helena Bonham Carter,Fantasia 2000,Spring Sprite
Ron Perlman,Tangled,Stabbington Brothers
Rob Paulsen,Darkwing Duck,Steelbeak
Chris Sanders,Lilo & Stitch,Stitch
Charles Judels,Pinocchio,Stromboli
Don Lake,Zootopia,Stu Hopps
Fred Newman,Who Framed Roger Rabbit,Stupid the Weasel
Douglas Seale,Aladdin,The Sultan
Frank Welker,Beauty and the Beast,Sultan the Footstool
Hayden Panettiere,Dinosaur,Suri
Robert Loggia,Oliver & Company,Sykes
Bebe Neuwirth,An Extremely Goofy Movie,Sylvia Marpole
Daniel Henney,Big Hero 6,Tadashi Hamada
Mindy Kaling,Wreck-It Ralph,Taffyta Muttonfudge
Dori Whittaker,Robin Hood,Tagalong Bunny
Jemaine Clement,Moana,Tamatoa
Joan Copeland,Brother Bear,Tanana
Brad Garrett,An Extremely Goofy Movie,Tank
Dana Hill,Darkwing Duck,Tank Muddlefoot
Wayne Knight,Tarzan,Tantor
Grant Bardsley,The Black Cauldron,Taran
Tony Goldwyn,Tarzan,Tarzan
Alex D. Linz,Tarzan,Tarzan
Tim Curry,Darkwing Duck,Taurus Bulba
Diedrich Bader,The Country Bears,Ted Betterhead
Jesse McCartney,Disney Fairies,Terence
Rosie O'Donnell,Tarzan,Terk
LaChanze,Hercules,Terpsichore
Roz Ryan,Hercules,Thalia
Christian Bale,Pocahontas,Thomas
Phil Harris,The Aristocats,Thomas O'Malley
Randy Savage,Bolt,Thug
Peter Behn,Bambi,Thumper
Margaret Lee,Bambi,Thumper's Mother
Anika Noni Rose,The Princess and the Frog,Tiana
Cree Summer,Peter Pan,Tiger Lily
Paul Winchell,Winnie the Pooh and the Blustery Day,Tigger
Alyce Ardell,Silly Symphonies,Tillie Tiger
Nathan Lane,The Lion King,Timon
Julie Kavner,The Lion King 1½,Timon's Mother
Edward Brophy,Dumbo,Timothy Q. Mouse
Catherine O'Hara,Chicken Little,Tina
Mae Whitman,Peter Pan,Tinker Bell
Jason Marsden,The Weekenders,Tino Tonitini
Joe Mateo,Meet the Robinsons,Tiny
Max Casella,The Little Mermaid II: Return to the Sea,Tip
Eli Russell Linnetz,The Emperor's New Groove,Tipo
Cheech Marin,Oliver & Company,Tito
Barnett Parker,The Reluctant Dragon,Tobias the Reluctant Dragon
Frank Welker,The Great Mouse Detective,Toby the Dog
Eddie Holden,The Tortoise and the Hare,Toby Tortoise
Richie Sanders,Robin Hood,Toby Turtle
Keith Coogan,The Fox and the Hound,Tod
Frank Welker,Bonkers,Toots
Gary Dubin,The Aristocats,Toulouse
Larry Roberts,Lady and the Tramp,Tramp
George Lindsey,Robin Hood,Trigger the Vulture
Bill Baucom,Lady and the Tramp,Trusty
Michael Clarke Duncan,Brother Bear,Tug
Temuera Morrison,Moana,Tui Waialiki
Don Knotts,Chicken Little,Turkey Lurkey
Kenneth Mars,Darkwing Duck,Tuskernini
J. Pat O'Malley,Alice in Wonderland,Tweedledum and Tweedledee
Paul Briggs,The Princess and the Frog,Two Fingers
Adam West,Meet the Robinsons,Uncle Art
Jerry Stiller,The Lion King 1½,Uncle Max
Bill Thompson,The Aristocats,Uncle Waldo
Pat Carroll,The Little Mermaid,Ursula
Sarah Silverman,Wreck-It Ralph,Vanellope von Schweetz
Pat Carroll,The Little Mermaid,Vanessa (The Little Mermaid)
Diedrich Bader,Bolt,Veteran Cat
Charles Kimbrough,The Hunchback of Notre Dame,Victor
Pamela Adlon,Disney Fairies,Vidia
Don Novello,Atlantis: The Lost Empire,"Vincenzo ""Vinny"" Santorini"
Lacey Chabert,The Lion King II: Simba's Pride,Vitani
Sandy Duncan,The Fox and the Hound,Vixey
Ron Feinberg,Darkwing Duck,Vladimir Goudenov Grizzlikof
Townsend Coleman,Timon and Pumbaa,Vulture Police
Frank Welker,Goof Troop,Waffles
J. Pat O'Malley,Alice in Wonderland,The Walrus
Russi Taylor,DuckTales,Webby Vanderquack
Jim Cummings,Belle's Magical World,Webster
Kathryn Beaumont,Peter Pan,Wendy Darling
Steve Buscemi,Home on the Range,Wesley
June Foray,Who Framed Roger Rabbit,Wheezy the Weasel
Bill Thompson,Alice in Wonderland,White Rabbit
Jeanette Nolan,The Fox and the Hound,Widow Tweed
David Ogden Stiers,Pocahontas,Wiggins
John Candy,The Rescuers Down Under,Wilbur
Wesley Singerman,Meet the Robinsons,Wilbur Robinson
Florence Stanley,Atlantis: The Lost Empire,Wilhelmina Packard
Billy Gilbert,Fun and Fancy Free,Willie the Giant
Verna Felton,The Jungle Book,Winifred the Elephant
Oliver Wallace,The Adventures of Ichabod and Mr. Toad,Winkie the Barman
Sterling Holloway,Winnie the Pooh and the Honey Tree,Winnie the Pooh
William Glover,Oliver & Company,Winston
John DiMaggio,Zootopia,Woolter the Ram
Jim Cummings,Sofia the First,Wormwood the Raven
John C. Reilly,Wreck-It Ralph,Wreck-It Ralph
Adam Carolla,Wreck-It Ralph,Wynchel
Frank Welker,Aladdin (TV series),Xerxes
Harvey Fierstein,Mulan,Yao
Ossie Davis,Dinosaur,Yar
Tommy Chong,Zootopia,Yax
Corey Burton,Fantasia,Yen Sid
Eartha Kitt,The Emperor's New Groove,Yzma
Christina Hendricks,The Pirate Fairy,Zarina
Rowan Atkinson,The Lion King,Zazu
Haley Joel Osment,The Hunchback of Notre Dame II,Zephyr
Rip Torn,Hercules,Zeus
Digby Wolfe,The Jungle Book,Ziggy the Vulture
Max Casella,Dinosaur,Zini
Corey Burton,Chip 'n Dale Rescue Rangers,Zipper
Suzanne Pleshette,The Lion King II: Simba's Pride,Zira
